container_1517523693559_0047_01_000106, Thu Feb 01 16:03:18 MST 2018, 1517526198686, 0, 1517526200716
container_1517523693559_0047_01_000107, Thu Feb 01 16:03:18 MST 2018, 1517526198687, 0, 1517526200725
container_1517523693559_0047_01_000108, Thu Feb 01 16:03:18 MST 2018, 1517526198713, 0, 1517526200726
container_1517523693559_0047_01_000109, Thu Feb 01 16:03:18 MST 2018, 1517526198715, 0, 1517526200727
container_1517523693559_0047_01_000110, Thu Feb 01 16:03:19 MST 2018, 1517526199443, 0, 1517526200728
container_1517523693559_0047_01_000111, Thu Feb 01 16:03:19 MST 2018, 1517526199444, 0, 1517526200729
container_1517523693559_0047_01_000112, Thu Feb 01 16:03:19 MST 2018, 1517526199447, 0, 1517526200729
container_1517523693559_0047_01_000113, Thu Feb 01 16:03:19 MST 2018, 1517526199448, 0, 1517526200731
container_1517523693559_0047_01_000114, Thu Feb 01 16:03:19 MST 2018, 1517526199449, 0, 1517526200731
container_1517523693559_0047_01_000115, Thu Feb 01 16:03:19 MST 2018, 1517526199450, 0, 1517526200732
container_1517523693559_0047_01_000116, Thu Feb 01 16:03:19 MST 2018, 1517526199460, 0, 1517526200733
container_1517523693559_0047_01_000117, Thu Feb 01 16:03:19 MST 2018, 1517526199587, 0, 1517526200734
container_1517523693559_0047_01_000118, Thu Feb 01 16:03:19 MST 2018, 1517526199589, 0, 1517526200734
container_1517523693559_0047_01_000119, Thu Feb 01 16:03:19 MST 2018, 1517526199591, 0, 1517526200735
container_1517523693559_0047_01_000120, Thu Feb 01 16:03:19 MST 2018, 1517526199593, 0, 1517526200736
container_1517523693559_0047_01_000141, Thu Feb 01 16:03:19 MST 2018, 1517526199617, 0, 1517526200737
container_1517523693559_0047_01_000003, Thu Feb 01 16:03:16 MST 2018, 1517526196608, 1517526198619, 1517526203764
container_1517523693559_0047_01_000150, Thu Feb 01 16:03:21 MST 2018, 1517526201447, 1517526202450, 1517526205772
container_1517523693559_0047_01_000190, Thu Feb 01 16:03:21 MST 2018, 1517526201451, 1517526202453, 1517526205773
container_1517523693559_0047_01_000191, Thu Feb 01 16:03:21 MST 2018, 1517526201452, 1517526202455, 1517526205773
container_1517523693559_0047_01_000104, Thu Feb 01 16:03:18 MST 2018, 1517526198629, 1517526199632, 1517526206776
container_1517523693559_0047_01_000105, Thu Feb 01 16:03:18 MST 2018, 1517526198655, 1517526199657, 1517526206777
container_1517523693559_0047_01_000189, Thu Feb 01 16:03:21 MST 2018, 1517526201450, 1517526202453, 1517526206779
container_1517523693559_0047_01_000188, Thu Feb 01 16:03:21 MST 2018, 1517526201447, 1517526202449, 1517526207785
container_1517523693559_0047_01_000192, Thu Feb 01 16:03:21 MST 2018, 1517526201452, 1517526202454, 1517526207787
container_1517523693559_0047_01_000193, Thu Feb 01 16:03:21 MST 2018, 1517526201463, 1517526202465, 1517526207787
container_1517523693559_0047_01_000195, Thu Feb 01 16:03:21 MST 2018, 1517526201592, 1517526202594, 1517526207788
container_1517523693559_0047_01_000002, Thu Feb 01 16:03:16 MST 2018, 1517526196606, 1517526198620, 1517526209803
container_1517523693559_0047_01_000194, Thu Feb 01 16:03:21 MST 2018, 1517526201590, 1517526202592, 1517526210809
container_1517523693559_0047_01_000023, Thu Feb 01 16:03:16 MST 2018, 1517526196637, 1517526198600, 1517526211815
container_1517523693559_0047_01_000024, Thu Feb 01 16:03:16 MST 2018, 1517526196637, 1517526198599, 1517526211816
container_1517523693559_0047_01_000025, Thu Feb 01 16:03:16 MST 2018, 1517526196637, 1517526198600, 1517526211817
container_1517523693559_0047_01_000026, Thu Feb 01 16:03:16 MST 2018, 1517526196638, 1517526198605, 1517526211817
container_1517523693559_0047_01_000027, Thu Feb 01 16:03:16 MST 2018, 1517526196642, 1517526198615, 1517526211820
container_1517523693559_0047_01_000029, Thu Feb 01 16:03:16 MST 2018, 1517526196712, 1517526198715, 1517526211820
container_1517523693559_0047_01_000035, Thu Feb 01 16:03:17 MST 2018, 1517526197440, 1517526198442, 1517526211820
container_1517523693559_0047_01_000036, Thu Feb 01 16:03:17 MST 2018, 1517526197444, 1517526198445, 1517526211821
container_1517523693559_0047_01_000063, Thu Feb 01 16:03:17 MST 2018, 1517526197641, 1517526199600, 1517526212825
container_1517523693559_0047_01_000065, Thu Feb 01 16:03:17 MST 2018, 1517526197641, 1517526199599, 1517526212825
container_1517523693559_0047_01_000066, Thu Feb 01 16:03:17 MST 2018, 1517526197641, 1517526199604, 1517526212825
container_1517523693559_0047_01_000069, Thu Feb 01 16:03:17 MST 2018, 1517526197713, 1517526199716, 1517526212827
container_1517523693559_0047_01_000070, Thu Feb 01 16:03:18 MST 2018, 1517526198442, 1517526199442, 1517526212828
container_1517523693559_0047_01_000073, Thu Feb 01 16:03:18 MST 2018, 1517526198445, 1517526199447, 1517526212828
container_1517523693559_0047_01_000082, Thu Feb 01 16:03:18 MST 2018, 1517526198599, 1517526199600, 1517526212829
container_1517523693559_0047_01_000083, Thu Feb 01 16:03:18 MST 2018, 1517526198600, 1517526199600, 1517526212829
container_1517523693559_0047_01_000084, Thu Feb 01 16:03:18 MST 2018, 1517526198601, 1517526199600, 1517526212829
container_1517523693559_0047_01_000100, Thu Feb 01 16:03:18 MST 2018, 1517526198615, 1517526199610, 1517526212830
container_1517523693559_0047_01_000005, Thu Feb 01 16:03:16 MST 2018, 1517526196618, 1517526198613, 1517526213838
container_1517523693559_0047_01_000006, Thu Feb 01 16:03:16 MST 2018, 1517526196619, 1517526198596, 1517526213839
